Year;quarter;ukos;mode;country;purpose;package;Age;Sex;duration;visits;nights;expend;sample
2022;1;1;1;14;5;1;6;1;4;"538,627";"18313,302";"484763,866";1
2022;1;1;1;15;1;1;1;1;4;"822,879";"45258,360";"636908,560";1
2022;1;1;1;15;1;1;2;1;2;"683,458";"4784,206";"0,000";1
2022;1;1;1;15;1;1;2;2;2;"622,011";"4354,076";"373206,500";1
2022;1;1;1;15;1;1;3;2;2;"1815,298";"16214,798";"827381,161";2
2022;1;1;1;15;1;1;5;1;2;"1491,201";"11919,179";"1817956,071";4
2022;1;1;1;15;1;1;5;2;1;"327,264";"981,793";"99488,335";1
2022;1;1;1;15;1;1;5;2;2;"327,264";"1636,321";"98833,807";1
2022;1;1;1;15;1;1;6;1;2;"3079,806";"25842,779";"1731070,771";4
2022;1;1;1;15;1;1;6;1;3;"152,942";"2752,958";"305884,256";1
2022;1;1;1;15;1;1;6;2;2;"1301,028";"11768,704";"636054,190";2
2022;1;1;1;15;1;1;6;2;3;"1290,600";"18068,403";"532426,827";2
2022;1;1;1;15;1;1;7;1;1;"887,168";"2661,505";"269699,213";1
2022;1;1;1;15;1;1;7;2;2;"887,168";"10646,022";"2217921,161";1
2022;1;1;1;15;1;1;7;2;3;"305,884";"6423,569";"352990,432";1
2022;1;1;1;15;1;2;2;1;2;"887,168";"3548,674";"381482,440";1
2022;1;1;1;15;1;2;2;2;2;"1509,179";"10564,255";"1246349,064";2
2022;1;1;1;15;1;2;3;1;2;"822,879";"3291,517";"61715,946";1
2022;1;1;1;15;1;2;3;2;2;"928,129";"4640,647";"267301,276";1
2022;1;1;1;15;1;2;4;1;2;"2045,815";"11546,795";"1050995,143";3
2022;1;1;1;15;1;2;4;2;2;"887,168";"4435,842";"269699,213";1
2022;1;1;1;15;1;2;4;2;3;"152,942";"3211,785";"111035,985";1
2022;1;1;1;15;1;2;5;1;2;"305,884";"2141,190";"290895,928";1
2022;1;1;1;15;1;2;5;1;3;"795,999";"11143,980";"754606,653";1
2022;1;1;1;15;1;2;5;2;3;"305,884";"4282,380";"290895,928";1
2022;1;1;1;15;1;2;6;1;2;"2081,590";"14571,127";"541867,658";3
2022;1;1;1;15;1;2;6;1;3;"305,884";"6423,569";"256636,891";1
2022;1;1;1;15;1;2;6;2;2;"1703,309";"14860,475";"3159176,926";3
2022;1;1;1;15;1;2;6;2;3;"622,011";"8708,152";"1062394,504";1
2022;1;1;1;15;1;2;7;1;2;"1667,730";"13679,876";"689599,285";2
2022;1;1;1;15;1;2;7;1;3;"305,884";"4282,380";"272542,873";1
2022;1;1;1;15;1;2;7;2;2;"2020,341";"14142,385";"1157176,532";6
2022;1;1;1;15;1;2;7;2;4;"305,884";"11929,486";"605344,944";1
2022;1;1;1;15;2;1;5;1;4;"622,011";"18660,325";"0,000";1
2022;1;1;1;15;4;1;2;1;3;"1856,259";"40837,695";"1071061,364";2
2022;1;1;1;15;4;1;2;1;4;"1418,009";"58286,266";"646542,734";2
2022;1;1;1;15;4;1;2;2;2;"1292,175";"12574,614";"627458,179";2
2022;1;1;1;15;4;1;2;2;4;"1524,037";"84043,031";"207426,156";2
2022;1;1;1;15;4;1;3;1;3;"795,999";"15919,972";"876394,435";1
2022;1;1;1;15;4;1;3;2;1;"795,999";"2387,996";"136115,757";1
2022;1;1;1;15;4;1;3;2;2;"928,129";"6496,906";"55687,766";1
2022;1;1;1;15;4;1;3;2;4;"622,011";"36076,628";"311005,417";1
2022;1;1;1;15;4;1;4;1;2;"1607,800";"13626,793";"80390,003";2
2022;1;1;1;15;4;1;4;2;1;"822,879";"2468,638";"82287,928";1
2022;1;1;1;15;4;1;4;2;2;"999,140";"6993,982";"149871,042";1
2022;1;1;1;15;4;1;4;2;4;"240,158";"13448,848";"20173,272";1
2022;1;1;1;15;4;1;5;2;2;"1068,937";"8551,493";"160340,494";1
2022;1;1;1;15;4;1;6;#NULL!;2;"1068,937";"7482,556";"650982,407";1
2022;1;1;1;15;5;1;6;1;2;"622,011";"7464,130";"518757,035";1
2022;1;1;1;15;5;1;7;1;4;"1158,016";"35898,490";"6948094,770";1
2022;1;1;1;16;1;1;4;2;2;"999,140";"6993,982";"374677,604";1
2022;1;1;1;16;1;1;7;1;2;"887,168";"10646,022";"887168,465";1
2022;1;1;1;16;4;1;3;1;3;"305,068";"7626,692";"0,000";1
2022;1;1;1;16;4;1;6;1;4;"1068,937";"29930,226";"213787,326";1
2022;1;1;1;16;4;1;7;1;3;"1068,937";"20309,796";"534468,315";1
2022;1;1;1;17;1;1;2;2;1;"2148,527";"6445,582";"1354646,407";2
2022;1;1;1;17;1;1;2;2;2;"2198,689";"8794,756";"924776,699";2
2022;1;1;1;17;1;1;3;1;2;"1227,208";"4908,834";"589060,051";1
2022;1;1;1;17;1;1;3;2;1;"2055,781";"4111,561";"865305,909";2
2022;1;1;1;17;1;1;3;2;2;"828,572";"3314,289";"414286,148";1
2022;1;1;1;17;1;1;3;2;3;"710,615";"10659,220";"461188,907";1
2022;1;1;1;17;1;1;4;2;3;"875,706";"18389,833";"612994,438";1
2022;1;1;1;17;1;1;5;1;1;"1074,264";"3222,791";"456562,033";1
2022;1;1;1;17;1;1;6;2;1;"538,627";"1615,880";"161587,955";1
2022;1;1;1;17;1;1;6;2;2;"872,839";"6109,874";"543778,809";1
2022;1;1;1;17;1;2;6;1;2;"828,572";"3314,289";"583314,896";1
2022;1;1;1;17;2;1;3;2;2;"391,822";"1567,288";"235093,146";1
2022;1;1;1;17;2;1;4;1;1;"872,047";"1744,094";"348818,867";1
2022;1;1;1;17;2;1;4;2;1;"1074,264";"2148,527";"483418,623";1
2022;1;1;1;17;2;1;5;1;1;"3374,816";"4158,460";"1209082,687";4
2022;1;1;1;17;2;1;5;1;2;"1657,145";"12428,584";"2011773,533";2
2022;1;1;1;17;2;1;6;1;2;"686,025";"8232,295";"901436,334";1
2022;1;1;1;17;2;1;6;2;2;"710,615";"4974,303";"163441,369";1
2022;1;1;1;17;4;1;1;1;3;"152,942";"2905,900";"15294,213";1
2022;1;1;1;17;4;1;1;2;1;"872,047";"2616,142";"14824,802";1
2022;1;1;1;17;4;1;1;2;2;"1074,264";"13965,427";"9668,372";1
2022;1;1;1;17;4;1;1;2;4;"708,538";"22673,226";"94235,597";1
2022;1;1;1;17;4;1;2;1;2;"1132,807";"5664,034";"453122,681";1
2022;1;1;1;17;4;1;2;2;2;"1902,836";"14148,424";"659738,436";2
2022;1;1;1;17;4;1;2;2;3;"919,947";"22998,685";"0,000";1
2022;1;1;1;17;4;1;3;1;2;"875,706";"5254,238";"0,000";1
2022;1;1;1;17;4;1;3;1;3;"2301,472";"39740,454";"263941,059";2
2022;1;1;1;17;4;1;3;2;2;"1695,802";"10464,832";"427724,480";2
2022;1;1;1;17;4;1;3;2;3;"1132,807";"27187,361";"90624,536";1
2022;1;1;1;17;4;1;4;1;2;"872,839";"6109,874";"436419,590";1
2022;1;1;1;17;4;1;4;1;3;"828,572";"17400,018";"828572,295";1
2022;1;1;1;17;4;1;4;1;5;"1132,807";"129139,964";"1481711,166";1
2022;1;1;1;17;4;1;4;2;2;"1227,208";"6136,042";"184081,266";1
2022;1;1;1;17;4;1;4;2;3;"710,615";"13501,678";"35530,732";1
2022;1;1;1;17;4;1;5;1;3;"828,572";"16571,446";"24857,169";1
2022;1;1;1;17;4;1;5;2;2;"875,706";"4378,532";"262711,902";1
2022;1;1;1;17;4;1;6;1;2;"1325,850";"9280,949";"397754,967";1
2022;1;1;1;17;4;1;6;2;2;"2102,915";"9287,365";"255742,838";2
2022;1;1;1;17;4;1;6;2;3;"537,369";"11284,743";"325645,451";1
2022;1;1;1;17;4;1;7;1;1;"1325,850";"3977,550";"1060679,912";1
2022;1;1;1;17;4;1;7;1;2;"1227,208";"8590,459";"276121,899";1
2022;1;1;1;17;5;1;9;1;0;"875,706";"0,000";"110338,999";1
2022;1;1;1;18;1;1;6;2;1;"1132,807";"3398,420";"304725,003";1
2022;1;1;1;18;2;1;3;1;1;"1132,807";"3398,420";"226561,340";1
2022;1;1;1;18;2;2;6;1;2;"1132,807";"5664,034";"397615,152";1
2022;1;1;1;18;4;1;2;1;4;"1334,086";"50695,267";"1239365,858";1
2022;1;1;1;18;4;1;2;2;1;"1132,807";"2265,613";"142733,644";1
2022;1;1;1;18;4;1;3;1;1;"1227,208";"2454,417";"92040,633";1
2022;1;1;1;18;4;1;3;1;2;"1132,807";"4531,227";"283201,675";1
2022;1;1;1;18;4;1;3;2;4;"1334,086";"38688,493";"667042,981";1
2022;1;1;1;18;4;1;4;1;4;"1132,807";"39648,235";"1132806,702";1
2022;1;1;1;18;4;1;4;2;2;"1132,807";"10195,260";"396482,346";1
2022;1;1;1;18;4;1;4;2;3;"1334,086";"28015,805";"667042,981";1
2022;1;1;1;18;4;1;6;1;4;"686,025";"38417,378";"123484,429";1
2022;1;1;1;18;4;1;6;2;2;"1227,208";"8590,459";"503155,460";1
2022;1;1;1;19;1;1;3;1;1;"311,373";"934,119";"155686,430";1
2022;1;1;1;19;1;1;3;1;2;"1845,301";"10972,181";"1491003,537";4
2022;1;1;1;19;1;1;3;2;1;"311,373";"311,373";"99950,688";1
2022;1;1;1;19;1;1;3;2;2;"1231,320";"7402,093";"1231320,263";2
2022;1;1;1;19;1;1;4;1;1;"875,706";"2627,119";"1313559,510";1
2022;1;1;1;19;1;1;4;1;2;"2627,119";"16638,420";"2065791,255";3
2022;1;1;1;19;1;1;4;2;2;"596,702";"2983,511";"895053,157";1
2022;1;1;1;19;1;1;5;1;2;"875,706";"3502,825";"1046469,076";1
2022;1;1;1;19;1;1;5;2;2;"872,839";"6109,874";"1091048,975";1
